"_id","_labels",":START_ID",":END_ID",":TYPE"
,,"0","950","FOLLOWS"
,,"952","0","FOLLOWS"
,,"0","953","FOLLOWS"
,,"0","954","FOLLOWS"
,,"957","0","FOLLOWS"
,,"0","960","FOLLOWS"
,,"963","0","FOLLOWS"
,,"0","968","FOLLOWS"
,,"969","0","FOLLOWS"
,,"974","0","FOLLOWS"
,,"0","972","FOLLOWS"
,,"978","0","FOLLOWS"
,,"0","977","FOLLOWS"
,,"982","0","FOLLOWS"
,,"0","981","FOLLOWS"
,,"984","0","FOLLOWS"
,,"0","987","FOLLOWS"
,,"989","0","FOLLOWS"
,,"0","991","FOLLOWS"
,,"994","0","FOLLOWS"
,,"0","995","FOLLOWS"
,,"1000","0","FOLLOWS"
,,"0","1001","FOLLOWS"
,,"1005","0","FOLLOWS"
,,"0","1006","FOLLOWS"
,,"1007","0","FOLLOWS"
,,"0","1010","FOLLOWS"
,,"1011","0","FOLLOWS"
,,"0","1013","FOLLOWS"
,,"1014","0","FOLLOWS"
,,"0","1016","FOLLOWS"
,,"1017","0","FOLLOWS"
,,"0","1020","FOLLOWS"
,,"1022","0","FOLLOWS"
,,"0","1023","FOLLOWS"
,,"1026","0","FOLLOWS"
,,"0","1027","FOLLOWS"
,,"1028","0","FOLLOWS"
,,"0","1029","FOLLOWS"
,,"1031","0","FOLLOWS"
,,"0","1034","FOLLOWS"
,,"1036","0","FOLLOWS"
,,"0","1037","FOLLOWS"
,,"1038","0","FOLLOWS"
,,"0","1040","FOLLOWS"
,,"1041","0","FOLLOWS"
,,"0","1043","FOLLOWS"
,,"1045","0","FOLLOWS"
,,"0","1046","FOLLOWS"
,,"1048","0","FOLLOWS"
,,"0","1054","FOLLOWS"
,,"1053","0","FOLLOWS"
,,"1057","0","FOLLOWS"
,,"0","1056","FOLLOWS"
,,"0","1060","FOLLOWS"
,,"1061","0","FOLLOWS"
,,"1064","0","FOLLOWS"
,,"0","1063","FOLLOWS"
,,"1067","0","FOLLOWS"
,,"0","1068","FOLLOWS"
,,"1070","0","FOLLOWS"
,,"0","1072","FOLLOWS"
